Raw Pibal
station_id,station_name,data_timestamp,station_elevation,wind_dir_surface,wind_speed_surface,pembacaan,azimuth,elevasi,sandi_pibal,penghentian_pengamatan,observer_name
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,2,32.0,40.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,3,24.0,43.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,4,18.0,45.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,5,10.0,47.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,6,30.0,49.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,7,355.0,51.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,8,350.0,48.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,9,344.0,45.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,10,340.0,42.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,11,336.0,40.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,12,331.0,38.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,13,325.0,35.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,14,320.0,32.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,15,316.0,31.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,16,312.0,30.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,17,310.0,29.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,18,308.0,28.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,19,305.0,27.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,20,302.0,26.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-10-23T12:00:00,456,0,0,21,300.0,25.0,"PPAA 73121 97340
55285 13510 10021 
77999=

PPBB 73121 97340
90/13 00000 19005 11015  
9047/ 14009 10515   
910// 10021=",LIC,Adi
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,1,286.4,29.2,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,2,287.1,28.9,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,3,288,28.5,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,4,289.2,28.2,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,5,290.5,27.9,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,6,291.7,27.5,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,7,292.8,27.1,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,8,293.5,26.8,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,9,294,26.6,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,10,294.4,26.3,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,11,294.8,26,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,12,294.5,25.8,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,13,294,25.5,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,14,293.4,25.2,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,15,292.2,24.7,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,16,291.7,24.4,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,17,291.3,24.1,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,18,291,23.8,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
